CWE-ID,Name,MappingUsageLabel,SuggestedCWEIDs,Level,Related_CWE_IDs_ChildOf,Related_CAPEC_IDs
CWE-5,J2EE Misconfiguration: Data Transmission Without Encryption,allowed,[],4,[319],[]
CWE-6,J2EE Misconfiguration: Insufficient Session-ID Length,allowed,[],4,[334],"[21, 59]"
CWE-7,J2EE Misconfiguration: Missing Custom Error Page,allowed,[],4,[756],[]
CWE-8,J2EE Misconfiguration: Entity Bean Declared Remote,allowed,[],3,[668],[]
CWE-9,J2EE Misconfiguration: Weak Access Permissions for EJB Methods,allowed,[],4,[266],[]
CWE-11,ASP.NET Misconfiguration: Creating Debug Binary,allowed,[],3,[489],[]
CWE-12,ASP.NET Misconfiguration: Missing Custom Error Page,allowed,[],4,[756],[]
CWE-13,ASP.NET Misconfiguration: Password in Configuration File,allowed,[],5,[260],[]
CWE-14,Compiler Removal of Code to Clear Buffers,allowed,[],4,[733],[]
CWE-15,External Control of System or Configuration Setting,allowed,[],3,"[642, 610]","[13, 146, 176, 203, 270, 271, 579, 69, 76, 77]"
CWE-20,Improper Input Validation,discouraged,"[1284, 1285, 1286, 1287, 1288, 1289, 116, 790]",2,[707],"[10, 101, 104, 108, 109, 110, 120, 13, 135, 136, 14, 153, 182, 209, 22, 23, 230, 231, 24, 250, 261, 267, 28, 3, 31, 42, 43, 45, 46, 47, 473, 52, 53, 588, 63, 64, 664, 67, 7, 71, 72, 73, 78, 79, 8, 80, 81, 83, 85, 88, 9]"
CWE-22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),allowed,[],3,[706],"[126, 64, 76, 78, 79]"
CWE-23,Relative Path Traversal,allowed,[],4,[22],"[139, 76]"
CWE-24,Path Traversal: '../filedir',allowed,[],5,[23],[]
CWE-25,Path Traversal: '/../filedir',allowed,[],5,[23],[]
CWE-26,Path Traversal: '/dir/../filename',allowed,[],5,[23],[]
CWE-27,Path Traversal: 'dir/../../filename',allowed,[],5,[23],[]
CWE-28,Path Traversal: '..\filedir',allowed,[],5,[23],[]
CWE-29,Path Traversal: '\..\filename',allowed,[],5,[23],[]
CWE-30,Path Traversal: '\dir\..\filename',allowed,[],5,[23],[]
CWE-31,Path Traversal: 'dir\..\..\filename',allowed,[],5,[23],[]
CWE-32,Path Traversal: '...' (Triple Dot),allowed,[],5,[23],[]
CWE-33,Path Traversal: '....' (Multiple Dot),allowed,[],5,[23],[]
CWE-34,Path Traversal: '....//',allowed,[],5,[23],[]
CWE-35,Path Traversal: '.../...//',allowed,[],5,[23],[]
CWE-36,Absolute Path Traversal,allowed,[],4,[22],[597]
CWE-37,Path Traversal: '/absolute/pathname/here',allowed,[],4,"[36, 160]",[]
CWE-38,Path Traversal: '\absolute\pathname\here',allowed,[],5,[36],[]
CWE-39,Path Traversal: 'C:dirname',allowed,[],5,[36],[]
CWE-40,Path Traversal: '\\UNC\share\name\' (Windows UNC Share),allowed,[],5,[36],[]
CWE-41,Improper Resolution of Path Equivalence,allowed,[],3,[706],[3]
CWE-42,Path Equivalence: 'filename.' (Trailing Dot),allowed,[],4,"[41, 162]",[]
CWE-43,Path Equivalence: 'filename....' (Multiple Trailing Dot),allowed,[],5,"[42, 163]",[]
CWE-44,Path Equivalence: 'file.name' (Internal Dot),allowed,[],4,[41],[]
CWE-45,Path Equivalence: 'file...name' (Multiple Internal Dot),allowed,[],5,"[44, 165]",[]
CWE-46,Path Equivalence: 'filename ' (Trailing Space),allowed,[],4,"[41, 162]",[649]
CWE-47,Path Equivalence: ' filename' (Leading Space),allowed,[],4,[41],[]
CWE-48,Path Equivalence: 'file name' (Internal Whitespace),allowed,[],4,[41],[]
CWE-49,Path Equivalence: 'filename/' (Trailing Slash),allowed,[],4,"[41, 162]",[]
CWE-50,Path Equivalence: '//multiple/leading/slash',allowed,[],4,"[41, 161]",[]
CWE-51,Path Equivalence: '/multiple//internal/slash',allowed,[],4,[41],[]
CWE-52,Path Equivalence: '/multiple/trailing/slash//',allowed,[],4,"[41, 163]",[]
CWE-53,Path Equivalence: '\multiple\\internal\backslash',allowed,[],4,"[41, 165]",[]
CWE-54,Path Equivalence: 'filedir\' (Trailing Backslash),allowed,[],4,"[41, 162]",[]
CWE-55,Path Equivalence: '/./' (Single Dot Directory),allowed,[],4,[41],[]
CWE-56,Path Equivalence: 'filedir*' (Wildcard),allowed,[],4,"[41, 155]",[]
CWE-57,Path Equivalence: 'fakedir/../realdir/filename',allowed,[],4,[41],[]
CWE-58,Path Equivalence: Windows 8.3 Filename,allowed,[],4,[41],[]
CWE-59,Improper Link Resolution Before File Access ('Link Following'),allowed,[],3,[706],"[132, 17, 35, 76]"
CWE-61,UNIX Symbolic Link (Symlink) Following,allowed,[],4,[59],[27]
CWE-62,UNIX Hard Link,allowed,[],4,[59],[]
CWE-64,Windows Shortcut Following (.LNK),allowed,[],4,[59],[]
CWE-65,Windows Hard Link,allowed,[],4,[59],[]
CWE-66,Improper Handling of File Names that Identify Virtual Resources,allowed,[],3,[706],[]
CWE-67,Improper Handling of Windows Device Names,allowed,[],4,[66],[]
CWE-69,Improper Handling of Windows ::DATA Alternate Data Stream,allowed,[],4,[66],[168]
CWE-71,DEPRECATED: Apple '.DS_Store',prohibited,[],1,[],[]
CWE-72,Improper Handling of Apple HFS+ Alternate Data Stream Path,allowed,[],4,[66],[]
CWE-73,External Control of File Name or Path,allowed,[],3,"[642, 610]","[13, 267, 64, 72, 76, 78, 79, 80]"
CWE-74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),discouraged,[],2,[707],"[10, 101, 105, 108, 120, 13, 135, 14, 24, 250, 267, 273, 28, 3, 34, 42, 43, 45, 46, 47, 51, 52, 53, 6, 64, 67, 7, 71, 72, 76, 78, 79, 8, 80, 83, 84, 9]"
CWE-75,Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),discouraged,[],3,[74],"[81, 93]"
CWE-76,Improper Neutralization of Equivalent Special Elements,allowed,[],4,[75],[]
CWE-77,Improper Neutralization of Special Elements used in a Command ('Command Injection'),allowed,[78],3,[74],"[136, 15, 183, 248, 40, 43, 75, 76]"
CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),allowed,[],4,[77],"[108, 15, 43, 6, 88]"
CWE-79,Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),allowed,[],3,[74],"[209, 588, 591, 592, 63, 85]"
CWE-80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS),allowed,[],4,[79],"[18, 193, 32, 86]"
CWE-81,Improper Neutralization of Script in an Error Message Web Page,allowed,[],4,[79],[198]
CWE-82,Improper Neutralization of Script in Attributes of IMG Tags in a Web Page,allowed,[],5,[83],[]
CWE-83,Improper Neutralization of Script in Attributes in a Web Page,allowed,[],4,[79],"[243, 244, 588]"
CWE-84,Improper Neutralization of Encoded URI Schemes in a Web Page,allowed,[],4,[79],[]
CWE-85,Doubled Character XSS Manipulations,allowed,[],4,[79],[245]
CWE-86,Improper Neutralization of Invalid Characters in Identifiers in Web Pages,allowed,[],3,"[79, 436]","[247, 73, 85]"
CWE-87,Improper Neutralization of Alternate XSS Syntax,allowed,[],4,[79],[199]
CWE-88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),allowed,[],4,[77],"[137, 174, 41, 460, 88]"
CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),allowed,[],4,[943],"[108, 109, 110, 470, 66, 7]"
CWE-90,Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),allowed,[],4,[943],[136]
CWE-91,XML Injection (aka Blind XPath Injection),allowed,[],3,[74],"[250, 83]"
CWE-92,DEPRECATED: Improper Sanitization of Custom Special Characters,prohibited,[],1,[],[]
CWE-93,Improper Neutralization of CRLF Sequences ('CRLF Injection'),allowed,[],3,[74],"[15, 81]"
CWE-94,Improper Control of Generation of Code ('Code Injection'),allowed,[],3,"[74, 913]","[242, 35, 77]"
CWE-95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),allowed,[],4,[94],[35]
CWE-96,Improper Neutralization of Directives in Statically Saved Code ('Static Code Injection'),allowed,[],4,[94],"[35, 73, 77, 81, 85]"
CWE-97,Improper Neutralization of Server-Side Includes (SSI) Within a Web Page,allowed,[],5,[96],"[101, 35]"
CWE-98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),allowed,[],3,"[706, 829]",[193]
CWE-99,Improper Control of Resource Identifiers ('Resource Injection'),allowed,[],3,[74],"[10, 240, 75]"
CWE-102,Struts: Duplicate Validation Forms,allowed,[],4,"[694, 1173]",[]
CWE-103,Struts: Incomplete validate() Method Definition,allowed,[],3,[573],[]
CWE-104,Struts: Form Bean Does Not Extend Validation Class,allowed,[],3,[573],[]
CWE-105,Struts: Form Field Without Validator,allowed,[],4,[1173],[]
CWE-106,Struts: Plug-in Framework not in Use,allowed,[],4,[1173],[]
CWE-107,Struts: Unused Validation Form,allowed,[],3,[1164],[]
CWE-108,Struts: Unvalidated Action Form,allowed,[],4,[1173],[]
CWE-109,Struts: Validator Turned Off,allowed,[],4,[1173],[]
CWE-110,Struts: Validator Without Form Field,allowed,[],3,[1164],[]
CWE-111,Direct Use of Unsafe JNI,allowed,[],4,[695],[]
CWE-112,Missing XML Validation,allowed,[],4,[1286],"[230, 231]"
CWE-113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting'),allowed,[],3,"[93, 436]","[105, 31, 34, 85]"
CWE-114,Process Control,discouraged,"[426, 427, 73]",4,[73],"[108, 640]"
CWE-115,Misinterpretation of Input,allowed,[],3,[436],[]
CWE-116,Improper Encoding or Escaping of Output,allowed,[],2,[707],"[104, 73, 81, 85]"
